"Board","Profession","Owner Name","Series","Modifier","Mail Address 1","Mail Address 2","Mail Address 3","Mail City","Mail State","Mail ZIP","Mail County","DBA","Location Address 1","Location Address 2","Location Address 3","Location City","Location State","Location ZIP","Location County","License Number","Primary Status","Secondary Status","Original Licensure Date","Effective Date","Expiration Date","Tax Stamp Designation","Smoking Designation","Retail Tobacco Indicator"
"400","4005","BAYSIDE DISTRIBUTORS INC","MEXP","","3325 NW 97TH AVE","","","DORAL","FL","33172","23","BAYSIDE DISTRIBUTORS INC","3325 NW 97TH AVE","","","DORAL","FL","33172","23","WSL2324343","20","20","03/19/2001","05/10/2006","03/31/2025","","",""
"400","4005","GREEK FOODS SPECIALTY INC","JDBW","","12707 NW 42 AVENUE","","","OPA-LOCKA","FL","33054","23","HELLAS IMPORTS","12707 NW 42 AVENUE","","","OPA-LOCKA","FL","33054","23","WSL2300302","20","20","09/15/2000","04/12/2009","03/31/2025","","",""
"400","4005","CONE DISTRIBUTING INC","KLD","","1551 NW 44TH AVE","","","OCALA","FL","34482","52","CONE DISTRIBUTING INC","3214 W THARPE ST","","","TALLAHASSEE","FL","32301","47","WSL4700086","20","20","","01/13/2017","09/30/2024","","",""
"400","4005","CONE DISTRIBUTING INC","KLD","","1551 NW 44TH AVE","","","OCALA","FL","34482","52","CONE DISTRIBUTING INC","1551 NW 44TH AVE","","","OCALA","FL","34482","52","WSL5200003","20","20","","09/22/2021","09/30/2024","","",""
"400","4005","IMPORT ANT WINES INC","KLD","","356 CENTER COURT","","","VENICE","FL","34285","68","IMPORT ANT WINES INC","356 CENTER CT","","","VENICE","FL","34285","68","WSL6800727","20","20","","02/27/2002","03/31/2025","","",""
"400","4005","OCEANWIDE INTERNATIONAL TRADING INC","MEXP","","1101 E WASHINGTON ST","","","TAMPA","FL","33602","39","MARINE & RESTAURANT SUPPLIES","1101 E WASHINGTON ST","","","TAMPA","FL","33602","39","WSL3907918","20","20","10/01/1996","11/30/2023","09/30/2024","","",""
"400","4005","FANTIS FOODS OF FLORIDA INC","KLD","","60 TRIANGLE BLVD","","","CARLSTADT","NJ","070720000","730","FANTIS FOODS OF FLORIDA INC","3399 118TH AVE N","","","ST. PETERSBURG","FL","33716","62","WSL6204722","20","20","","08/02/2002","09/30/2025","","",""
"400","4005","SEAVIN INC","AMW","","19239 US 27 N.","","","CLERMONT","FL","34711-9025","45","SAN SEBASTIAN WINERY","157 KING ST","","","ST AUGUSTINE","FL","32084","65","WSL6501188","20","20","11/22/1996","08/02/2002","09/30/2024","","",""
"400","4005","SEAVIN INC","AMW","","19239 US 27 N.","","","CLERMONT","FL","34711-9025","45","LAKERIDGE WINERY & VINEYARDS","19239 U.S. 27,NORTH","","","CLERMONT","FL","34711-9025","45","WSL4500882","20","20","","08/02/2002","09/30/2024","","",""
"400","4005","SEAVIN INC","JDBW","","19239 US 27 N.","","","CLERMONT","FL","34711-9025","45","SAN SEBASTIAN WINERY","157 KING ST","","","ST AUGUSTINE","FL","32084","65","WSL6501189","20","20","11/22/1996","08/03/2015","09/30/2024","","",""
